Zipcode,SiteName,SiteType,Longitude,Latitude
78723,BIG Austin,PublicInternet,-97.70790799999999,30.313669
78702,Creative Action,PublicInternet,-97.709721,30.279328000000003
78759,Austin Public Library,PublicInternet,-97.772811,30.43328
78723,Austin Children's Museum,PublicInternet,-97.705113,30.297310999999997
78701,Skillpoint Alliance,PublicInternet,-97.74234200000001,30.2638
78702,PARD,PublicInternet,-97.72081,30.257841
78704,ZACH Theater,PublicInternet,-97.759489,30.263862
78756,Austin Public Library,PublicInternet,-97.74095,30.323061
78703,Austin Public Library,PublicInternet,-97.767328,30.298115000000003
78757,Austin Public Library,PublicInternet,-97.72971700000001,30.362014000000002
78741,Central Health,PublicInternet,-97.710617,30.214674
78702,Austin Public Library,PublicInternet,-97.699963,30.273236999999998
78702,Meals on Wheels and More,PublicInternet,-97.70624699999999,30.254935999999997
78705,AGE of Central Texas,PublicInternet,-97.735332,30.299999
78703,The Contemporary Austin,PublicInternet,-97.77415,30.312648
78723,Capital Metro,PublicInternet,-97.69082,30.298858000000003
78722,"Texas Educational Broadcasting Co-Operative, Inc",PublicInternet,-97.707031,30.288531
78723,Southwest Educational Development Corporation,PublicInternet,-97.706135,30.300684999999998
78723,Austin Public Library,PublicInternet,-97.666211,30.308952
78745,Austin Independent School District,PublicInternet,-97.797771,30.215235999999997
78723,Austin Children's Shelter,PublicInternet,-97.688575,30.295656
78756,The Arc of the Capital Area,PublicInternet,-97.736604,30.319114000000003
78751,Texas Rio Grande Legal Aid,PublicInternet,-97.711598,30.308221000000003
78701,Austin Conv Center,PublicInternet,-97.739774,30.262064000000002
78723,Austin Public Library,PublicInternet,-97.690559,30.311258000000002
78721,Southwest Key,PublicInternet,-97.682861,30.260416999999997
78731,Jewish Community Association of Austin,PublicInternet,-97.75468000000001,30.357375
78752,Austin Public Library,PublicInternet,-97.69303199999999,30.331948999999998
78701,American Institute of Architects - Austin Chapter,PublicInternet,-97.748698,30.276127000000002
78758,Austin Public Library,PublicInternet,-97.698295,30.363664
78756,Austin Public Library,PublicInternet,-97.739666,30.327013
78756,Austin Independent School District,PublicInternet,-97.729345,30.325919
78721,Austin Achieve,PublicInternet,-97.67975,30.306983000000002
78752,Workforce Solutions Capital Area,PublicInternet,-97.715691,30.330029999999997
78702,Austin Public Library,PublicInternet,-97.709632,30.259784999999997
78702,Austin Conv Center,PublicInternet,-97.73093,30.269835999999998
78735,African-American Youth Harvest,PublicInternet,-97.692871,30.320844
78744,CommUnityCare (William Cannon Facility),PublicInternet,-97.771529,30.188318
78701,Entrepreneurs Foundation,PublicInternet,-97.74090799999999,30.269196
78724,Austin Independent School District,PublicInternet,-97.657452,30.314412
78724,Manor ISD,PublicInternet,-97.617693,30.307199
78751,Out Youth Austin,PublicInternet,-97.71479599999999,30.308849
78752,Austin Independent School District,PublicInternet,-97.689635,30.323971999999998
78701,Austin Theater Alliance,PublicInternet,-97.742319,30.269416999999997
78701,Austin Public Library,PublicInternet,-97.74549499999999,30.271140000000003
78701,Austin Public Library,PublicInternet,-97.745347,30.271538
78751,"Child, Inc.",PublicInternet,-97.7142,30.313637
78759,Austin Independent School District,PublicInternet,-97.754173,30.376358000000003
78754,Travis County Appraisal District,PublicInternet,-97.671564,30.335801
78702,Huston-Tillotson University,PublicInternet,-97.721209,30.264590999999996
78702,Boys & Girls Clubs of the Austin Area,PublicInternet,-97.70930600000001,30.270801000000002
78702,United Way for Greater Austin,PublicInternet,-97.719766,30.280043
78744,River City Youth Foundation,PublicInternet,-97.744704,30.195802
787041,One Texas Center,PublicInternet,-97.749542,30.258402
78704,Austin Public Library,PublicInternet,-97.76174,30.248863
78741,Texas Civil Rights Project,PublicInternet,-97.700334,30.229821
78741,YWCA Greater Austin,PublicInternet,-97.73883000000001,30.236959999999996
78704,Long Center for the Performing Arts,PublicInternet,-97.750198,30.260963
78745,Austin Public Library,PublicInternet,-97.796899,30.216327000000003
78702,PARD,PublicInternet,-97.71101800000001,30.266047999999998
78704,Austin Independent School District,PublicInternet,-97.788031,30.234747
78704,St. Edward’s University,PublicInternet,-97.758818,30.231903000000003
78704,Austin Independent School District,PublicInternet,-97.743904,30.234768
78702,PARD,PublicInternet,-97.724565,30.270157
78702,Austin Independent School District,PublicInternet,-97.720737,30.277589000000003
78702,HACA - Booker T. Washington,PublicInternet,-97.707762,30.27148
78749,Austin Public Library,PublicInternet,-97.854237,30.218743
78745,Austin Independent School District,PublicInternet,-97.856886,30.189140000000002
78741,Austin Public Library,PublicInternet,-97.706314,30.230228000000004
78722,Austin Theater Alliance,PublicInternet,-97.742205,30.269710999999997
78704,Umlauf Sculpture Garden & Museum,PublicInternet,-97.766207,30.263865999999997
78744,Austin Public Library,PublicInternet,-97.742224,30.187926
78702,Austin Public,PublicInternet,-97.716251,30.269268
78702,LifeWorks,PublicInternet,-97.708247,30.264563
78702,DeWitty Job Training and Employment Center,PublicInternet,-97.7159,30.27021
78702,Austin Public Library,PublicInternet,-97.724523,30.26995
78701,City Hall,PublicInternet,-97.746989,30.264879999999998
78701,Austin Public Library,PublicInternet,-97.751777,30.266125
78748,Akins High School,Public HS,-97.80117340000001,30.148182000000002
78759,Anderson High School,Public HS,-97.75244609999999,30.3749141
78703,Austin HS,Public HS,-97.7501906,30.2649864
78749,Bowie HS,Public HS,-97.8585698,30.1881338
78745,Crockett Early College HS,Public HS,-97.7954551,30.2185178
78721,Eastside Memorial Early College HS,Public HS,-97.6810863,30.258742600000005
78758,Lanier Early College HS,Public HS,-97.7072974,30.3596407
78724,LBJ Early College HS,Public HS,-97.65573940000002,30.3120113
78724,Liberal Arts and Sciences Academy (LASA HS),Public HS,-97.65573940000002,30.3120113
78756,McCallum HS,Public HS,-97.7299407,30.3273347
78752,Reagan Early College HS,Public HS,-97.6915595,30.324035499999997
78756,Rosedale School (Special Ed),Public HS,-97.7403218,30.319759
78704,Travis Early College HS,Public HS,-97.741796,30.233894
78746,Westlake High School,Public HS,-97.8157521,30.276476799999998
78750,Vandegrift High School,Public HS,-97.7684679,30.4347094
78753,Connally HS,Public HS,-97.675945,30.417652
78729,McNeil HS,Public HS,-97.76307609999999,30.4365238
78750,Westwood HS,Public HS,-97.79735,30.458559
78728,Chaparral Star Academy,Charter HS,-97.689701,30.438009
78754,KIPP Austin Collegiate,Charter HS,-97.68629909999999,30.3359225
78744,Harmony School of Excellence - Austin,Charter HS,-97.746351,30.210069
78753,Harmony Science Academy - Austin,Charter HS,-97.6848505,30.3572875
78753,NYOS Charter School,Charter HS,-97.678845,30.402227000000003
78602,Bastrop WIC Clinic,Clinic,-97.33211573,30.10646853
78722,Blackland Neighborhood Center,"Neighborhood Center, Offices ",-97.72245941,30.28075037
78703,Clarksville Community Health Center,"Clinic, Offices ",-97.76330055,30.28122053
78617,Del Valle WIC Clinic,Clinic ,-97.64206899999999,30.198796
78702,East Austin Neighborhood Center,"Clinic, Neighborhood Center ",-97.727464,30.259718
78702,Vital Records,Other,-97.690404,30.252329
78744,Dove Springs WIC Center,Clinic,-97.770861,30.187721999999997
78702,East Austin WIC Clinic,"Clinic, Neighborhood Center ",-97.727356,30.259745000000002
78621,Elgin WIC Clinic,Clinic,-97.36980799999999,30.345313
78745,Far South WIC Clinic,Clinic,-97.779239,30.207009999999997
78653,Manor WIC Clinic,Clinic,-97.563744,30.340164
78758,Mom's Place - WIC Breastfeeding Resource Center,Clinic,-97.71704,30.364895
